Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
1.25772,0.08601,0.007,0.00001,860,4.124,0.022,0,0.0258,0
1.29486,0.12275,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.14798,0.08526,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.0908,0.12475,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.0908,0.22568,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.0908,0.46752,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.0908,0.81771,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.96921,0.08959,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.96921,0.14206,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.96921,0.24458,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.05052,0.28618,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.96921,0.92979,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.05052,1.74216,0.007,0.00001,860,4.124,0.022,0,0.0258,0
2.96921,2.94428,0.007,0.00001,860,4.124,0.022,0,0.0258,0
1.40249,0.08618,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
1.28848,0.12581,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
2.20906,0.08587,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
2.16446,0.12746,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
2.12009,0.25085,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
2.15842,0.451,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
2.12299,0.9456,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
2.1204,1.928,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
2.06681,0.08679,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
2.06209,0.1478,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
2.08926,0.2441,0.007,0.00001,860,4.124,0.022,-1,0.0258,0
1.28892,0.08277,0.007,0.00001,860,4.124,0.022,-5,0.0258,0
1.40149,0.12427,0.007,0.00001,860,4.124,0.022,-5,0.0258,0
2.15288,0.08422,0.007,0.00001,860,4.124,0.022,-5,0.0258,0
2.12125,0.12222,0.007,0.00001,860,4.124,0.022,-5,0.0258,0
2.15019,0.22821,0.007,0.00001,860,4.124,0.022,-5,0.0258,0
2.12709,0.45674,0.007,0.00001,860,4.124,0.022,-5,0.0258,0
2.14521,0.98282,0.007,0.00001,860,4.124,0.022,-5,0.0258,0
2.12222,1.77279,0.007,0.00001,860,4.124,0.022,-5,0.0258,0
