Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
1.35773,0.08601,0.007,0.00001,860,4.134,0.032,0,0.0258,0
1.39486,0.13275,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.14798,0.08536,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.0908,0.13475,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.0908,0.23568,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.0908,0.46752,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.0908,0.81771,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.96931,0.08959,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.96931,0.14306,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.96931,0.24458,0.007,0.00001,860,4.134,0.032,0,0.0258,0
3.05053,0.38618,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.96931,0.92979,0.007,0.00001,860,4.134,0.032,0,0.0258,0
3.05053,1.74216,0.007,0.00001,860,4.134,0.032,0,0.0258,0
2.96931,2.94438,0.007,0.00001,860,4.134,0.032,0,0.0258,0
1.40349,0.08618,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
1.38848,0.13581,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
2.20906,0.08587,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
2.16446,0.13746,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
2.12009,0.25085,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
2.15843,0.451,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
2.13399,0.9456,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
2.1304,1.938,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
3.06681,0.08679,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
3.06309,0.1478,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
3.08936,0.2441,0.007,0.00001,860,4.134,0.032,-1,0.0258,0
1.38892,0.08377,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
1.40149,0.13437,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
2.15388,0.08433,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
2.13135,0.13322,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
2.15019,0.23821,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
2.12709,0.45674,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
2.14521,0.98383,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
2.12233,1.77279,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
3.02986,0.0849,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
3.05672,0.14385,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
3.02436,0.24182,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
3.11043,0.47108,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
3.07628,0.97639,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
3.04274,1.97706,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
3.0698,3.2474,0.007,0.00001,860,4.134,0.032,-5,0.0258,0
1.3543,0.08599,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
1.34151,0.13595,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
1.35444,0.24153,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
2.08376,0.08578,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
2.0842,0.1367,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
2.10473,0.24291,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
2.10495,0.43831,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
2.99856,0.08484,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
3.05729,0.13316,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
2.91505,0.23829,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
3.03002,0.44383,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
2.97339,0.88578,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
3.03194,1.79662,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
3.00394,2.95329,0.007,0.00001,860,4.134,0.032,-9,0.0258,0
1.38716,0.08354,0.007,0.00001,860,4.134,0.032,1,0.0258,0
2.18429,0.0866,0.007,0.00001,860,4.134,0.032,1,0.0258,0
2.1821,0.13824,0.007,0.00001,860,4.134,0.032,1,0.0258,0
2.09709,0.23714,0.007,0.00001,860,4.134,0.032,1,0.0258,0
2.13512,0.45316,0.007,0.00001,860,4.134,0.032,1,0.0258,0
2.17338,0.89769,0.007,0.00001,860,4.134,0.032,1,0.0258,0
2.17006,1.84342,0.007,0.00001,860,4.134,0.032,1,0.0258,0
3.06277,0.08977,0.007,0.00001,860,4.134,0.032,1,0.0258,0
3.03034,0.1433,0.007,0.00001,860,4.134,0.032,1,0.0258,0
3.02683,0.24582,0.007,0.00001,860,4.134,0.032,1,0.0258,0
3.05214,0.46976,0.007,0.00001,860,4.134,0.032,1,0.0258,0
3.01822,0.96466,0.007,0.00001,860,4.134,0.032,1,0.0258,0
2.98469,1.98096,0.007,0.00001,860,4.134,0.032,1,0.0258,0
1.36627,0.08941,0.007,0.00001,860,4.134,0.032,5,0.0258,0
1.34725,0.14036,0.007,0.00001,860,4.134,0.032,5,0.0258,0
2.13231,0.09264,0.007,0.00001,860,4.134,0.032,5,0.0258,0
2.14414,0.14541,0.007,0.00001,860,4.134,0.032,5,0.0258,0
2.05616,0.24694,0.007,0.00001,860,4.134,0.032,5,0.0258,0
2.09334,0.48543,0.007,0.00001,860,4.134,0.032,5,0.0258,0
2.1114,0.97698,0.007,0.00001,860,4.134,0.032,5,0.0258,0
2.15048,1.98124,0.007,0.00001,860,4.134,0.032,5,0.0258,0
3.01982,0.09256,0.007,0.00001,860,4.134,0.032,5,0.0258,0
2.97888,0.14537,0.007,0.00001,860,4.134,0.032,5,0.0258,0
3.00046,0.25841,0.007,0.00001,860,4.134,0.032,5,0.0258,0
2.96681,0.49287,0.007,0.00001,860,4.134,0.032,5,0.0258,0
3.02284,1.00755,0.007,0.00001,860,4.134,0.032,5,0.0258,0
3.02125,2.09278,0.007,0.00001,860,4.134,0.032,5,0.0258,0
3.00806,3.18525,0.007,0.00001,860,4.134,0.032,5,0.0258,0
1.37038,0.08655,0.007,0.00001,860,4.134,0.032,9,0.0258,0
1.3377,0.13915,0.007,0.00001,860,4.134,0.032,9,0.0258,0
2.1557,0.08472,0.007,0.00001,860,4.134,0.032,9,0.0258,0
2.12412,0.13503,0.007,0.00001,860,4.134,0.032,9,0.0258,0
2.07477,0.23429,0.007,0.00001,860,4.134,0.032,9,0.0258,0
2.14912,0.44926,0.007,0.00001,860,4.134,0.032,9,0.0258,0
3.05214,0.09129,0.007,0.00001,860,4.134,0.032,9,0.0258,0
3.00679,0.14429,0.007,0.00001,860,4.134,0.032,9,0.0258,0
3.02268,0.25018,0.007,0.00001,860,4.134,0.032,9,0.0258,0
3.04026,0.46418,0.007,0.00001,860,4.134,0.032,9,0.0258,0
3.03162,0.95358,0.007,0.00001,860,4.134,0.032,9,0.0258,0
3.02268,1.92605,0.007,0.00001,860,4.134,0.032,9,0.0258,0
0.89262,0.05078,0.007,0.00001,860,4.134,0.032,0,0.0512,0
1.36318,0.05044,0.007,0.00001,860,4.134,0.032,0,0.0512,0
1.36821,0.09061,0.007,0.00001,860,4.134,0.032,0,0.0512,0
1.34462,0.14998,0.007,0.00001,860,4.134,0.032,0,0.0512,0
1.84045,0.27944,0.007,0.00001,860,4.134,0.032,0,0.0512,0
1.84881,0.55903,0.007,0.00001,860,4.134,0.032,0,0.0512,0
1.83425,0.82417,0.007,0.00001,860,4.134,0.032,0,0.0512,0
1.8387,1.18503,0.007,0.00001,860,4.134,0.032,0,0.0512,0
2.6423,0.28023,0.007,0.00001,860,4.134,0.032,0,0.0512,0
2.57304,0.5517,0.007,0.00001,860,4.134,0.032,0,0.0512,0
2.32052,0.55715,0.007,0.00001,860,4.134,0.032,0,0.0512,0
2.30273,0.83489,0.007,0.00001,860,4.134,0.032,0,0.0512,0
2.63368,0.82649,0.007,0.00001,860,4.134,0.032,0,0.0512,0
2.58527,1.14059,0.007,0.00001,860,4.134,0.032,0,0.0512,0
2.30711,1.1146,0.007,0.00001,860,4.134,0.032,0,0.0512,0
2.41255,1.88959,0.007,0.00001,860,4.134,0.032,0,0.0512,0
1.98096,0.05045,0.007,0.00001,860,4.134,0.032,-1,0.0512,0
1.98096,0.09902,0.007,0.00001,860,4.134,0.032,-1,0.0512,0
2.00786,0.20587,0.007,0.00001,860,4.134,0.032,-1,0.0512,0
2.01603,0.05022,0.007,0.00001,860,4.134,0.032,-5,0.0512,0
2.00543,0.1012,0.007,0.00001,860,4.134,0.032,-5,0.0512,0
1.97408,0.19896,0.007,0.00001,860,4.134,0.032,-5,0.0512,0
1.96702,0.50502,0.007,0.00001,860,4.134,0.032,-5,0.0512,0
1.97356,0.04846,0.007,0.00001,860,4.134,0.032,-9,0.0512,0
2.00945,0.09876,0.007,0.00001,860,4.134,0.032,-9,0.0512,0
1.98723,0.19667,0.007,0.00001,860,4.134,0.032,-9,0.0512,0
1.96463,0.47624,0.007,0.00001,860,4.134,0.032,-9,0.0512,0
2.10762,0.06156,0.007,0.00001,860,4.134,0.032,1,0.0512,0
2.06713,0.13221,0.007,0.00001,860,4.134,0.032,1,0.0512,0
2.06801,0.25739,0.007,0.00001,860,4.134,0.032,1,0.0512,0
2.00956,0.47872,0.007,0.00001,860,4.134,0.032,1,0.0512,0
2.12995,0.83842,0.007,0.00001,860,4.134,0.032,1,0.0512,0
1.97751,0.04976,0.007,0.00001,860,4.134,0.032,5,0.0512,0
1.94711,0.09989,0.007,0.00001,860,4.134,0.032,5,0.0512,0
1.93626,0.20212,0.007,0.00001,860,4.134,0.032,5,0.0512,0
1.9468,0.49061,0.007,0.00001,860,4.134,0.032,5,0.0512,0
1.98975,0.04958,0.007,0.00001,860,4.134,0.032,9,0.0512,0
1.98849,0.09878,0.007,0.00001,860,4.134,0.032,9,0.0512,0
2.00702,0.19681,0.007,0.00001,860,4.134,0.032,9,0.0512,0
6.20301,2.01014,0.001,0,1000,6.4691,0.07,1,0.1064,0
6.06338,2.87121,0.001,0,1000,6.4691,0.07,1,0.1064,0
5.66307,4.10113,0.001,0,1000,6.4691,0.07,1,0.1064,0
5.66307,5.60257,0.001,0,1000,6.4691,0.07,1,0.1064,0
5.29067,8.0025,0.001,0,1000,6.4691,0.07,1,0.1064,0
5.66466,1.95757,0.001,0,1000,6.4691,0.07,3,0.1064,0
5.5387,2.9213,0.001,0,1000,6.4691,0.07,3,0.1064,0
5.67422,4.17715,0.001,0,1000,6.4691,0.07,3,0.1064,0
5.81142,5.48102,0.001,0,1000,6.4691,0.07,3,0.1064,0
5.81632,8.18052,0.001,0,1000,6.4691,0.07,3,0.1064,0
5.6822,2.05352,0.001,0,1000,6.4691,0.07,0,0.1064,0
5.82123,2.94273,0.001,0,1000,6.4691,0.07,0,0.1064,0
5.56367,4.21697,0.001,0,1000,6.4691,0.07,0,0.1064,0
5.82942,5.62341,0.001,0,1000,6.4691,0.07,0,0.1064,0
5.7014,7.49894,0.001,0,1000,6.4691,0.07,0,0.1064,0
3.00373,0.04217,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.36555,0.04532,0.001,0,1000,5.51554,0.07,0,0.0549,0
6.47559,0.11548,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.2551,0.11548,0.001,0,1000,5.51554,0.07,0,0.0549,0
4.46709,0.11548,0.001,0,1000,5.51554,0.07,0,0.0549,0
2.94273,0.11548,0.001,0,1000,5.51554,0.07,0,0.0549,0
3.15872,0.20535,0.001,0,1000,5.51554,0.07,0,0.0549,0
3.01727,0.25483,0.001,0,1000,5.51554,0.07,0,0.0549,0
4.79767,0.23714,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.26249,0.22067,0.001,0,1000,5.51554,0.07,0,0.0549,0
6.34229,0.31623,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.39277,0.33982,0.001,0,1000,5.51554,0.07,0,0.0549,0
4.37636,0.33982,0.001,0,1000,5.51554,0.07,0,0.0549,0
3.72116,0.36517,0.001,0,1000,5.51554,0.07,0,0.0549,0
2.88296,0.33982,0.001,0,1000,5.51554,0.07,0,0.0549,0
4.08858,0.56234,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.27582,0.56234,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.66307,0.93057,0.001,0,1000,5.51554,0.07,0,0.0549,0
3.24512,0.93057,0.001,0,1000,5.51554,0.07,0,0.0549,0
5.6444,0.1055,0.001,0,1000,23.4429,0.07,0,0.1064,0
5.6436,0.15792,0.001,0,1000,23.4429,1.07,0,0.1064,0
5.50998,0.24548,0.001,0,1000,23.4429,2.07,0,0.1064,0
5.64202,0.37209,0.001,0,1000,23.4429,3.07,0,0.1064,0
5.77722,0.59315,0.001,0,1000,23.4429,4.07,0,0.1064,0
5.64043,0.87674,0.001,0,1000,23.4429,5.07,0,0.1064,0
5.63964,1.36279,0.001,0,1000,23.4429,6.07,0,0.1064,0
5.77519,2.03972,0.001,0,1000,23.4429,7.07,0,0.1064,0
5.77438,3.1311,0.001,0,1000,23.4429,8.07,0,0.1064,0
3.34138,0.10288,0.001,0,1000,23.4429,9.07,0,0.1064,0
3.34044,0.16611,0.001,0,1000,23.4429,10.07,0,0.1064,0
3.33974,0.23055,0.001,0,1000,23.4429,11.07,0,0.1064,0
3.58613,0.39644,0.001,0,1000,23.4429,12.07,0,0.1064,0
3.50098,0.57146,0.001,0,1000,23.4429,13.07,0,0.1064,0
